rank,id,strategy,category,what_is_sold,buyer,price_gbp,build_hours,time_to_cash_days,capital_gbp,cash_chance,margin,speed,ai_leverage,channel_access,demand_evidence,repeatability,capital_safety,score,primary_channel,trust_barrier,likely_failure_mode,evidence_ref,status
1,O-001,E-commerce listing rescue sprint,Direct service,"Optimised titles, item-specific QA flags and ready-to-paste descriptions",UK corporate marketplace sellers,99,1.5,1,0,4,5,5,5,3,5,4,5,90,Public corporate email,Medium,No reply or seller already has internal tooling,R-05|R-12|R-18|R-19,PRIMARY
2,O-002,Short-form content repurposing pack,Direct service,"One long asset converted into a week of posts and clips",Consultants and small agencies,99,1.5,1,0,3,5,5,5,3,4,4,5,83,Public corporate email,Medium,Generic AI output is undifferentiated,R-09,TOP_5
3,O-003,Product-image cleanup pack,Direct service,"Background cleanup, crops and channel-ready image variants",Small e-commerce brands,99,1.5,1,0,3,5,5,5,3,4,4,5,83,Public corporate email,Medium,Source photos or rights are unavailable,R-05,TOP_5
4,O-004,Google Business Profile content pack,Direct service,"Profile description, FAQs, review-response drafts and four posts",Multi-location service companies,99,1.5,1,0,3,5,5,5,3,3,5,5,82,Public corporate email,Medium,Low urgency or account-access concern,R-09,TOP_5
5,O-005,Sales follow-up sequence kit,Direct service,"Tailored email sequence, objection replies and simple tracking sheet",Small B2B companies,129,2,1,0,3,5,5,5,3,3,5,5,82,Public corporate email,High,Problem is not visible from outside,R-09,TOP_5
6,O-006,Landing-page conversion patch,Direct service,"Annotated audit plus rewritten hero, CTA, FAQ and implementation patch",Small SaaS and service companies,149,2.5,1,0,3,5,4,5,3,4,4,5,80,Public corporate email,High,Trust barrier for website access,R-09,SECONDARY
7,O-007,Spreadsheet cleanup and dashboard,Direct service,"Cleaned workbook, validation report and simple editable dashboard",Small operations teams,99,2,1,0,3,5,5,4,2,5,4,5,80,Direct referrals or job boards,Medium,Data problem is not publicly observable,R-06|R-07,RESERVE
8,O-008,CV and LinkedIn rewrite,Consumer service,"Targeted CV, profile rewrite and application variants",Active job seekers,79,1.5,1,0,3,5,5,5,2,4,3,5,80,Opt-in communities or referrals,High,No authorised acquisition channel yet,R-09,RESERVE
9,O-009,Qualified lead-research sprint,Direct service,"25 researched prospects with evidence and personalisation notes",Small B2B agencies,129,2.5,1,0,3,4,5,5,3,3,5,5,79,Public corporate email,High,Buyers distrust list quality or sourcing,R-09,RESERVE
10,O-028,Supplier-spec-to-catalogue workflow,Direct workflow service,"Approved fact map, deterministic QA process and 25 reviewed product drafts",E-commerce brands with 100+ SKUs and supplier data,399,5,2,0,2,5,4,5,3,5,4,5,77,Primary-prospect expansion or corporate email,High,Input rights/data quality or fear of generic AI copy,R-18|R-19,ASYMMETRIC
11,O-010,Sell existing owned items on eBay,Asset conversion,"Existing user-owned goods, accurately photographed and listed",Marketplace buyers,90,1.5,2,0,4,4,4,2,4,5,1,5,74,eBay UK,Low,Inventory or payout eligibility is unknown,R-03|R-04,EMERGENCY
12,O-011,AI workflow quick-win,Direct technical service,"One scoped workflow automation with error handling and handover",Small businesses,199,4,2,0,2,5,3,5,2,4,5,5,71,Public corporate email,High,Scope expands or systems require paid credentials,R-08|R-09,RESERVE
13,O-012,Live technical tutoring session,Consumer service,"One-hour debugging, Git or automation session",Learners and junior developers,59,1,1,0,2,5,5,4,2,4,2,5,71,Opt-in marketplace or referral,High,No audience or reputation,R-09,RESERVE
14,O-013,Proposal or RFP rewrite,Direct service,"24-hour rewrite and compliance matrix",Agencies and consultants with live bids,149,2,1,0,2,5,4,5,2,3,3,5,70,Referral or public bid signal,High,Urgent demand is private and hard to locate,R-09,RESERVE
15,O-014,Custom script or data extraction,Direct technical service,"Small reproducible script with documented output",Operations and research teams,149,3,1,0,2,5,4,4,2,4,4,5,70,Job board or referral,High,Specifications and data access slow the sale,R-08,RESERVE
16,O-015,Lane early-access onboarding,Existing asset service,"Setup and guided pilot of the existing UK eBay/Vinted crosslister",UK multi-channel resellers,59,2,1,0,2,5,4,5,2,2,5,5,70,Direct reseller outreach,High,Product dependencies and credentials block onboarding,R-12,RESERVE
17,O-016,Technical SEO quick-fix,Direct technical service,"Prioritised audit plus low-risk metadata/schema/indexation fixes",Small e-commerce companies,199,4,2,0,2,5,3,4,3,4,4,5,69,Public corporate email,High,Access and proof requirements delay close,R-05,RESERVE
18,O-017,Accessibility mini-audit,Direct technical service,"Evidence-led issue report and remediation snippets",Small e-commerce and SaaS companies,149,3,2,0,2,5,3,4,3,3,4,5,67,Public corporate email,High,Buyer expects certification or legal advice,R-09,RESERVE
19,O-018,Upwork fixed-price project,Marketplace service,"One-off copy, listing, spreadsheet or automation work",Upwork clients,50,2,6,0,2,4,1,4,2,5,4,4,59,Upwork,High,New-profile competition and payment hold,R-06|R-08|R-10,HOLD
20,O-019,Prolific research participation,Research participation,"Honest participation in eligible research studies",Researchers,20,0.5,1,0,2,5,4,1,1,4,2,5,57,Prolific,Medium,Account eligibility and study approval are unknown,R-11,FALLBACK_CONDITIONAL
21,O-020,Gumroad digital template,Digital product,"Reusable listing or audit template",Creators and resellers,19,3,8,0,1,4,1,5,2,3,5,5,55,Owned audience or Gumroad,High,No audience and seven-day payout hold,R-01|R-02,HOLD
22,O-021,Micro-SaaS paid beta,Software,"Narrow hosted workflow tool with founder onboarding",Small online sellers,49,10,5,0,1,5,1,5,2,2,5,4,55,Direct outreach,High,Build and trust consume the sales window,R-12,HOLD
23,O-022,Open-source or bug bounty,Competition,"Accepted fix or verified vulnerability report",Maintainers or bounty programs,100,8,7,0,1,5,1,5,2,3,2,5,55,Bounty platform,High,Acceptance and payout timing are outside control,R-09,HOLD
24,O-023,Fiverr gig,Marketplace service,"Packaged creative or technical micro-service",Fiverr buyers,50,2,15,0,1,4,1,4,2,4,4,5,53,Fiverr,High,New-profile discovery plus 14-day clearance,R-13,HOLD
25,O-024,Affiliate promotion,Audience business,"Commission for attributable third-party sale",Relevant online audience,30,3,14,0,1,5,1,4,1,3,5,5,53,Owned audience,High,No audience and payout delay,R-09,HOLD
26,O-025,Buy-to-resell flip,Resale,"Purchased underpriced physical goods resold quickly",Marketplace buyers,70,3,4,30,2,3,3,2,3,4,3,1,52,Local resale marketplaces,Medium,Capital loss and delivery delay,R-03,HOLD
27,O-026,PeoplePerHour offer,Marketplace service,"Packaged one-off digital service",PeoplePerHour buyers,50,2,15,0,1,4,1,4,2,3,4,5,51,PeoplePerHour,High,New-profile competition and up-to-14-day clearing,R-14,HOLD
28,O-027,UserTesting tasks,Research participation,"Honest usability test completion",Product researchers,10,1,14,0,1,5,1,1,2,3,2,5,43,UserTesting,Medium,Screening plus 14-day payment schedule,R-15,HOLD
